File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\xampp\htdocs\elearning\plugins\bootstrap-colorpicker\css\bootstrap-colorpicker.min.css,11,1,55,0,1,0,9,35,8,32
C:\xampp\htdocs\elearning\plugins\bootstrap-slider\css\bootstrap-slider.css,418,323,263,0,53,0,42,247,41,244
C:\xampp\htdocs\elearning\plugins\bootstrap-slider\css\bootstrap-slider.min.css,43,1,53,0,1,1,41,247,40,244
C:\xampp\htdocs\elearning\plugins\bootstrap-switch\css\bootstrap2\bootstrap-switch.css,511,494,325,0,2,0,15,141,8,29
C:\xampp\htdocs\elearning\plugins\bootstrap-switch\css\bootstrap2\bootstrap-switch.min.css,10,1,49,0,1,0,8,29,8,29
C:\xampp\htdocs\elearning\plugins\bootstrap-switch\css\bootstrap3\bootstrap-switch.css,188,178,124,0,2,0,8,29,8,29
C:\xampp\htdocs\elearning\plugins\bootstrap-switch\css\bootstrap3\bootstrap-switch.min.css,10,1,26,0,1,0,8,29,8,29
C:\xampp\htdocs\elearning\plugins\bootstrap4-duallistbox\bootstrap-duallistbox.css,88,67,46,0,13,0,8,40,8,40
C:\xampp\htdocs\elearning\plugins\bootstrap4-duallistbox\bootstrap-duallistbox.min.css,1,1,15,0,0,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\bs-stepper\css\bs-stepper.css,194,161,119,0,27,0,6,21,5,18
C:\xampp\htdocs\elearning\plugins\bs-stepper\css\bs-stepper.min.css,6,1,30,0,0,1,5,21,4,18
C:\xampp\htdocs\elearning\plugins\chart.js\Chart.css,48,35,28,0,5,0,8,16,4,8
C:\xampp\htdocs\elearning\plugins\chart.js\Chart.min.css,1,1,7,0,0,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\codemirror.css,351,285,230,0,43,7,23,209,1,2
C:\xampp\htdocs\elearning\plugins\codemirror\addon\dialog\dialog.css,33,28,23,0,5,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\addon\display\fullscreen.css,7,6,5,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\addon\fold\foldgutter.css,21,20,14,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\addon\hint\show-hint.css,37,30,27,0,7,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\addon\lint\lint.css,72,61,51,0,10,0,1,5,1,5
C:\xampp\htdocs\elearning\plugins\codemirror\addon\merge\merge.css,120,104,88,0,16,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\addon\scroll\simplescrollbars.css,67,57,44,0,10,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\addon\search\matchesonscrollbar.css,9,8,7,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\addon\tern\tern.css,88,81,69,0,7,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\mode\tiddlywiki\tiddlywiki.css,15,14,10,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\mode\tiki\tiki.css,26,22,16,0,4,1,0,9,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\theme\3024-day.css,42,24,24,0,9,0,9,24,9,24
C:\xampp\htdocs\elearning\plugins\codemirror\theme\3024-night.css,40,24,24,0,7,0,9,24,9,24
C:\xampp\htdocs\elearning\plugins\codemirror\theme\abcdef.css,33,30,30,0,3,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\theme\ambiance-mobile.css,6,5,4,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\theme\ambiance.css,75,58,52,0,14,0,3,11,2,8
C:\xampp\htdocs\elearning\plugins\codemirror\theme\ayu-dark.css,43,35,34,0,7,0,1,4,1,4
C:\xampp\htdocs\elearning\plugins\codemirror\theme\ayu-mirage.css,44,36,35,0,7,0,1,4,1,4
C:\xampp\htdocs\elearning\plugins\codemirror\theme\base16-dark.css,39,24,24,0,6,0,9,24,9,24
C:\xampp\htdocs\elearning\plugins\codemirror\theme\base16-light.css,39,24,24,0,6,0,9,24,9,24
C:\xampp\htdocs\elearning\plugins\codemirror\theme\bespin.css,35,20,20,0,6,0,9,24,9,24
C:\xampp\htdocs\elearning\plugins\codemirror\theme\blackboard.css,33,28,28,0,4,0,1,6,1,6
C:\xampp\htdocs\elearning\plugins\codemirror\theme\cobalt.css,26,23,23,0,3,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\theme\colorforth.css,34,27,27,0,7,0,0,0,0,0
